"","year|sex|name|n|prop"
"70","1880|F|Maud|345|0.0035346912011802794"
"71","1880|F|Mae|344|0.003524445719437728"
"72","1880|F|Etta|323|0.0033092906028441456"
"73","1880|F|Harriet|319|0.0032683086758739394"
"74","1880|F|Sadie|317|0.0032478177123888364"
"75","1880|F|Caroline|306|0.0031351174132207694"
"76","1880|F|Katie|303|0.0031043809679931153"
"77","1880|F|Lydia|302|0.0030941354862505637"
"78","1880|F|Elsie|301|0.003083890004508012"
"79","1880|F|Kate|299|0.003063399041022909"
"80","1880|F|Susan|286|0.002930207778369739"
"81","1880|F|Mollie|283|0.0028994713331420845"
"82","1880|F|Alma|277|0.0028379984426867753"
"83","1880|F|Addie|274|0.0028072619974591206"
"84","1880|F|Georgia|259|0.0026535797713208476"
"85","1880|F|Eliza|252|0.002581861399122987"
"86","1880|F|Lulu|249|0.002551124953895332"
"87","1880|F|Nannie|248|0.0025408794721527806"
"88","1880|F|Lottie|245|0.002510143026925126"
"89","1880|F|Amanda|241|0.00246916109995492"
"90","1880|F|Belle|238|0.0024384246547272653"
"91","1880|F|Charlotte|237|0.0024281791729847137"
"92","1880|F|Rebecca|236|0.002417933691242162"
"93","1880|F|Ruth|234|0.002397442727757059"
"94","1880|F|Viola|229|0.0023462153190443014"
"95","1880|F|Olive|224|0.0022949879103315437"
"96","1880|F|Amelia|221|0.002264251465103889"
"97","1880|F|Hannah|221|0.002264251465103889"
"98","1880|F|Jane|215|0.00220277857464858"
"99","1880|F|Virginia|213|0.002182287611163477"
"100","1880|F|Emily|210|0.002151551165935822"
"101","1880|F|Matilda|210|0.002151551165935822"
"102","1880|F|Irene|204|0.002090078275480513"
"103","1880|F|Kathryn|204|0.002090078275480513"
"104","1880|F|Esther|198|0.0020286053850252037"
"105","1880|F|Willie|192|0.0019671324945698945"
"106","1880|F|Henrietta|191|0.001956887012827343"
"107","1880|F|Ollie|183|0.0018749231588869309"
"108","1880|F|Amy|167|0.0017109954510061063"
"109","1880|F|Rachel|166|0.0017007499692635547"
"110","1880|F|Sara|165|0.0016905044875210032"
"111","1880|F|Estella|162|0.0016597680422933486"
"112","1880|F|Theresa|153|0.0015675587066103847"
"113","1880|F|Augusta|151|0.0015470677431252819"
"114","1880|F|Ora|149|0.0015265767796401788"
"115","1880|F|Pauline|144|0.001475349370927421"
"116","1880|F|Josie|141|0.0014446129256997665"
"117","1880|F|Lola|138|0.0014138764804721119"
"118","1880|F|Sophia|138|0.0014138764804721119"
"119","1880|F|Leona|137|0.0014036309987295603"
"120","1880|F|Anne|136|0.0013933855169870088"
"121","1880|F|Mildred|132|0.0013524035900168026"
"122","1880|F|Ann|131|0.001342158108274251"
"123","1880|F|Beulah|131|0.001342158108274251"
"124","1880|F|Callie|131|0.001342158108274251"
"125","1880|F|Lou|131|0.001342158108274251"
"126","1880|F|Delia|129|0.001321667144789148"
"127","1880|F|Eleanor|129|0.001321667144789148"
"128","1880|F|Barbara|127|0.001301176181304045"
"129","1880|F|Iva|127|0.001301176181304045"
"130","1880|F|Louisa|126|0.0012909306995614934"
"131","1880|F|Maria|125|0.0012806852178189419"
"132","1880|F|Mayme|124|0.0012704397360763903"
"133","1880|F|Evelyn|122|0.0012499487725912872"
"134","1880|F|Estelle|119|0.0012192123273636326"
"135","1880|F|Nina|119|0.0012192123273636326"
"136","1880|F|Betty|117|0.0011987213638785296"
"137","1880|F|Marion|115|0.0011782304003934265"
"138","1880|F|Bettie|113|0.0011577394369083234"
"139","1880|F|Dorothy|112|0.0011474939551657719"
"140","1880|F|Luella|111|0.0011372484734232203"
"141","1880|F|Inez|106|0.0010860210647104626"
"142","1880|F|Lela|106|0.0010860210647104626"
"143","1880|F|Rosie|106|0.0010860210647104626"
"144","1880|F|Allie|105|0.001075775582967911"
"145","1880|F|Millie|105|0.001075775582967911"
"146","1880|F|Janie|96|9.835662472849472e-4"
"147","1880|F|Cornelia|94|9.630752837998443e-4"
"148","1880|F|Victoria|93|9.528298020572927e-4"
"149","1880|F|Ruby|92|9.425843203147412e-4"
"150","1880|F|Winifred|92|9.425843203147412e-4"
"151","1880|F|Alta|91|9.323388385721897e-4"
"152","1880|F|Celia|90|9.220933568296381e-4"
"153","1880|F|Christine|89|9.118478750870866e-4"
"154","1880|F|Beatrice|87|8.913569116019835e-4"
"155","1880|F|Birdie|85|8.708659481168804e-4"
"156","1880|F|Harriett|83|8.503749846317774e-4"
"157","1880|F|Mable|83|8.503749846317774e-4"
"158","1880|F|Myra|83|8.503749846317774e-4"
"159","1880|F|Sophie|83|8.503749846317774e-4"
"160","1880|F|Tillie|83|8.503749846317774e-4"
"161","1880|F|Isabel|81|8.298840211466743e-4"
"162","1880|F|Sylvia|81|8.298840211466743e-4"
"163","1880|F|Carolyn|80|8.196385394041227e-4"
"164","1880|F|Isabelle|80|8.196385394041227e-4"
"165","1880|F|Leila|80|8.196385394041227e-4"
"166","1880|F|Sally|80|8.196385394041227e-4"
"167","1880|F|Ina|79|8.093930576615712e-4"
"168","1880|F|Essie|78|7.991475759190197e-4"
"169","1880|F|Bertie|77|7.889020941764681e-4"
"170","1880|F|Nell|77|7.889020941764681e-4"
"171","1880|F|Alberta|76|7.786566124339166e-4"
"172","1880|F|Katharine|76|7.786566124339166e-4"
"173","1880|F|Lora|74|7.581656489488136e-4"
"174","1880|F|Rena|74|7.581656489488136e-4"
"175","1880|F|Mina|73|7.479201672062621e-4"
"176","1880|F|Rhoda|73|7.479201672062621e-4"
"177","1880|F|Mathilda|72|7.376746854637105e-4"
"178","1880|F|Abbie|71|7.27429203721159e-4"
"179","1880|F|Eula|70|7.171837219786075e-4"
"180","1880|F|Dollie|69|7.069382402360559e-4"
"181","1880|F|Hettie|69|7.069382402360559e-4"
"182","1880|F|Eunice|67|6.864472767509529e-4"
"183","1880|F|Fanny|67|6.864472767509529e-4"
"184","1880|F|Ola|67|6.864472767509529e-4"
"185","1880|F|Lenora|66|6.762017950084013e-4"
"186","1880|F|Adelaide|65|6.659563132658498e-4"
"187","1880|F|Christina|65|6.659563132658498e-4"
"188","1880|F|Lelia|65|6.659563132658498e-4"
"189","1880|F|Nelle|65|6.659563132658498e-4"
"190","1880|F|Sue|65|6.659563132658498e-4"
"191","1880|F|Johanna|64|6.557108315232982e-4"
"192","1880|F|Lilly|64|6.557108315232982e-4"
"193","1880|F|Lucinda|63|6.454653497807467e-4"
"194","1880|F|Minerva|63|6.454653497807467e-4"
"195","1880|F|Lettie|62|6.352198680381952e-4"
"196","1880|F|Roxie|62|6.352198680381952e-4"
"197","1880|F|Cynthia|61|6.249743862956436e-4"
"198","1880|F|Helena|60|6.147289045530921e-4"
"199","1880|F|Hilda|60|6.147289045530921e-4"
"200","1880|F|Hulda|60|6.147289045530921e-4"
"201","1880|F|Bernice|59|6.044834228105405e-4"
"202","1880|F|Genevieve|59|6.044834228105405e-4"
"203","1880|F|Jean|59|6.044834228105405e-4"
"204","1880|F|Cordelia|58|5.94237941067989e-4"
"205","1880|F|Marian|56|5.737469775828859e-4"
"206","1880|F|Francis|55|5.635014958403344e-4"
"207","1880|F|Jeanette|55|5.635014958403344e-4"
"208","1880|F|Adeline|54|5.532560140977829e-4"
"209","1880|F|Gussie|54|5.532560140977829e-4"
"210","1880|F|Leah|54|5.532560140977829e-4"
"211","1880|F|Lois|53|5.430105323552313e-4"
"212","1880|F|Lura|53|5.430105323552313e-4"
"213","1880|F|Mittie|53|5.430105323552313e-4"
"214","1880|F|Hallie|51|5.225195688701282e-4"
"215","1880|F|Isabella|50|5.122740871275767e-4"
"216","1880|F|Olga|50|5.122740871275767e-4"
"217","1880|F|Phoebe|50|5.122740871275767e-4"
"218","1880|F|Teresa|50|5.122740871275767e-4"
"219","1880|F|Hester|49|5.020286053850252e-4"
"220","1880|F|Lida|49|5.020286053850252e-4"
"221","1880|F|Lina|49|5.020286053850252e-4"
"222","1880|F|Winnie|49|5.020286053850252e-4"
"223","1880|F|Claudia|48|4.917831236424736e-4"
"224","1880|F|Marguerite|48|4.917831236424736e-4"
"225","1880|F|Vera|48|4.917831236424736e-4"
"226","1880|F|Cecelia|47|4.8153764189992214e-4"
"227","1880|F|Bess|46|4.712921601573706e-4"
"228","1880|F|Emilie|46|4.712921601573706e-4"
"229","1880|F|John|46|4.712921601573706e-4"
"230","1880|F|Rosetta|46|4.712921601573706e-4"
"231","1880|F|Verna|46|4.712921601573706e-4"
"232","1880|F|Myrtie|45|4.6104667841481906e-4"
"233","1880|F|Cecilia|44|4.508011966722675e-4"
"234","1880|F|Elva|44|4.508011966722675e-4"
"235","1880|F|Olivia|44|4.508011966722675e-4"
"236","1880|F|Ophelia|44|4.508011966722675e-4"
"237","1880|F|Georgie|43|4.40555714929716e-4"
"238","1880|F|Elnora|42|4.3031023318716445e-4"
"239","1880|F|Violet|42|4.3031023318716445e-4"
"240","1880|F|Adele|41|4.200647514446129e-4"
"241","1880|F|Lily|41|4.200647514446129e-4"
"242","1880|F|Linnie|41|4.200647514446129e-4"
"243","1880|F|Loretta|41|4.200647514446129e-4"
"244","1880|F|Madge|41|4.200647514446129e-4"
"245","1880|F|Polly|41|4.200647514446129e-4"
"246","1880|F|Virgie|41|4.200647514446129e-4"
"247","1880|F|Eugenia|40|4.0981926970206137e-4"
"248","1880|F|Lucile|40|4.0981926970206137e-4"
"249","1880|F|Lucille|40|4.0981926970206137e-4"
"250","1880|F|Mabelle|39|3.9957378795950983e-4"
"251","1880|F|Rosalie|39|3.9957378795950983e-4"
"252","1880|F|Kittie|38|3.893283062169583e-4"
"253","1880|F|Meta|37|3.790828244744068e-4"
"254","1880|F|Angie|36|3.6883734273185527e-4"
"255","1880|F|Dessie|36|3.6883734273185527e-4"
"256","1880|F|Georgiana|36|3.6883734273185527e-4"
"257","1880|F|Lila|36|3.6883734273185527e-4"
"258","1880|F|Regina|36|3.6883734273185527e-4"
"259","1880|F|Selma|36|3.6883734273185527e-4"
"260","1880|F|Wilhelmina|36|3.6883734273185527e-4"
"261","1880|F|Bridget|35|3.5859186098930373e-4"
"262","1880|F|Lilla|35|3.5859186098930373e-4"
"263","1880|F|Malinda|35|3.5859186098930373e-4"
"264","1880|F|Vina|35|3.5859186098930373e-4"
"265","1880|F|Freda|34|3.483463792467522e-4"
"266","1880|F|Gertie|34|3.483463792467522e-4"
"267","1880|F|Jeannette|34|3.483463792467522e-4"
"268","1880|F|Louella|34|3.483463792467522e-4"
"269","1880|F|Mandy|34|3.483463792467522e-4"
"270","1880|F|Roberta|34|3.483463792467522e-4"
"271","1880|F|Cassie|33|3.3810089750420066e-4"
"272","1880|F|Corinne|33|3.3810089750420066e-4"
"273","1880|F|Ivy|33|3.3810089750420066e-4"
"274","1880|F|Melissa|33|3.3810089750420066e-4"
"275","1880|F|Lyda|32|3.278554157616491e-4"
"276","1880|F|Naomi|32|3.278554157616491e-4"
"277","1880|F|Norma|32|3.278554157616491e-4"
"278","1880|F|Bell|31|3.176099340190976e-4"
"279","1880|F|Margie|31|3.176099340190976e-4"
"280","1880|F|Nona|31|3.176099340190976e-4"
"281","1880|F|Zella|31|3.176099340190976e-4"
"282","1880|F|Dovie|30|3.0736445227654604e-4"
"283","1880|F|Elvira|30|3.0736445227654604e-4"
"284","1880|F|Erma|30|3.0736445227654604e-4"
"285","1880|F|Irma|30|3.0736445227654604e-4"
"286","1880|F|Leota|30|3.0736445227654604e-4"
"287","1880|F|William|30|3.0736445227654604e-4"
"288","1880|F|Artie|29|2.971189705339945e-4"
"289","1880|F|Blanch|29|2.971189705339945e-4"
"290","1880|F|Charity|29|2.971189705339945e-4"
"291","1880|F|Lorena|29|2.971189705339945e-4"
"292","1880|F|Lucretia|29|2.971189705339945e-4"
"293","1880|F|Orpha|29|2.971189705339945e-4"
"294","1880|F|Alvina|28|2.8687348879144297e-4"
"295","1880|F|Annette|28|2.8687348879144297e-4"
"296","1880|F|Catharine|28|2.8687348879144297e-4"
"297","1880|F|Elma|28|2.8687348879144297e-4"
"298","1880|F|Geneva|28|2.8687348879144297e-4"
"299","1880|F|Janet|28|2.8687348879144297e-4"
"300","1880|F|Lee|28|2.8687348879144297e-4"
"301","1880|F|Leora|28|2.8687348879144297e-4"
"302","1880|F|Lona|28|2.8687348879144297e-4"
"303","1880|F|Miriam|28|2.8687348879144297e-4"
"304","1880|F|Zora|28|2.8687348879144297e-4"
"305","1880|F|Linda|27|2.766280070488914e-4"
"306","1880|F|Octavia|27|2.766280070488914e-4"
"307","1880|F|Sudie|27|2.766280070488914e-4"
"308","1880|F|Zula|27|2.766280070488914e-4"
"309","1880|F|Adella|26|2.663825253063399e-4"
"310","1880|F|Alpha|26|2.663825253063399e-4"
"311","1880|F|Frieda|26|2.663825253063399e-4"
"312","1880|F|George|26|2.663825253063399e-4"
"313","1880|F|Joanna|26|2.663825253063399e-4"
"314","1880|F|Leonora|26|2.663825253063399e-4"
"315","1880|F|Priscilla|26|2.663825253063399e-4"
"316","1880|F|Tennie|26|2.663825253063399e-4"
"317","1880|F|Angeline|25|2.5613704356378835e-4"
"318","1880|F|Docia|25|2.5613704356378835e-4"
"319","1880|F|Ettie|25|2.5613704356378835e-4"
"320","1880|F|Flossie|25|2.5613704356378835e-4"
"321","1880|F|Hanna|25|2.5613704356378835e-4"
"322","1880|F|Letha|25|2.5613704356378835e-4"
"323","1880|F|Minta|25|2.5613704356378835e-4"
"324","1880|F|Retta|25|2.5613704356378835e-4"
"325","1880|F|Rosella|25|2.5613704356378835e-4"
"326","1880|F|Adah|24|2.458915618212368e-4"
"327","1880|F|Berta|24|2.458915618212368e-4"
"328","1880|F|Elisabeth|24|2.458915618212368e-4"
"329","1880|F|Elise|24|2.458915618212368e-4"
"330","1880|F|Goldie|24|2.458915618212368e-4"
"331","1880|F|Leola|24|2.458915618212368e-4"
"332","1880|F|Margret|24|2.458915618212368e-4"
"333","1880|F|Adaline|23|2.356460800786853e-4"
"334","1880|F|Floy|23|2.356460800786853e-4"
"335","1880|F|Idella|23|2.356460800786853e-4"
"336","1880|F|Juanita|23|2.356460800786853e-4"
"337","1880|F|Lenna|23|2.356460800786853e-4"
"338","1880|F|Lucie|23|2.356460800786853e-4"
"339","1880|F|Missouri|23|2.356460800786853e-4"
"340","1880|F|Nola|23|2.356460800786853e-4"
"341","1880|F|Zoe|23|2.356460800786853e-4"
"342","1880|F|Eda|22|2.2540059833613376e-4"
"343","1880|F|Isabell|22|2.2540059833613376e-4"
"344","1880|F|James|22|2.2540059833613376e-4"
"345","1880|F|Julie|22|2.2540059833613376e-4"
"346","1880|F|Letitia|22|2.2540059833613376e-4"
"347","1880|F|Madeline|22|2.2540059833613376e-4"
"348","1880|F|Malissa|22|2.2540059833613376e-4"
"349","1880|F|Mariah|22|2.2540059833613376e-4"
"350","1880|F|Pattie|22|2.2540059833613376e-4"
"351","1880|F|Vivian|22|2.2540059833613376e-4"
"352","1880|F|Almeda|21|2.1515511659358222e-4"
"353","1880|F|Aurelia|21|2.1515511659358222e-4"
"354","1880|F|Claire|21|2.1515511659358222e-4"
"355","1880|F|Dolly|21|2.1515511659358222e-4"
"356","1880|F|Hazel|21|2.1515511659358222e-4"
"357","1880|F|Jannie|21|2.1515511659358222e-4"
"358","1880|F|Kathleen|21|2.1515511659358222e-4"
"359","1880|F|Kathrine|21|2.1515511659358222e-4"
"360","1880|F|Lavinia|21|2.1515511659358222e-4"
"361","1880|F|Marietta|21|2.1515511659358222e-4"
"362","1880|F|Melvina|21|2.1515511659358222e-4"
"363","1880|F|Ona|21|2.1515511659358222e-4"
"364","1880|F|Pinkie|21|2.1515511659358222e-4"
"365","1880|F|Samantha|21|2.1515511659358222e-4"
"366","1880|F|Susanna|21|2.1515511659358222e-4"
"367","1880|F|Chloe|20|2.0490963485103069e-4"
"368","1880|F|Donnie|20|2.0490963485103069e-4"
"369","1880|F|Elsa|20|2.0490963485103069e-4"
"370","1880|F|Gladys|20|2.0490963485103069e-4"
"371","1880|F|Matie|20|2.0490963485103069e-4"
"372","1880|F|Pearle|20|2.0490963485103069e-4"
"373","1880|F|Vesta|20|2.0490963485103069e-4"
"374","1880|F|Vinnie|20|2.0490963485103069e-4"
"375","1880|F|Antoinette|19|1.9466415310847915e-4"
"376","1880|F|Clementine|19|1.9466415310847915e-4"
"377","1880|F|Edythe|19|1.9466415310847915e-4"
"378","1880|F|Harriette|19|1.9466415310847915e-4"
"379","1880|F|Libbie|19|1.9466415310847915e-4"
"380","1880|F|Lilian|19|1.9466415310847915e-4"
"381","1880|F|Lue|19|1.9466415310847915e-4"
"382","1880|F|Lutie|19|1.9466415310847915e-4"
"383","1880|F|Magdalena|19|1.9466415310847915e-4"
"384","1880|F|Meda|19|1.9466415310847915e-4"
"385","1880|F|Rita|19|1.9466415310847915e-4"
"386","1880|F|Tena|19|1.9466415310847915e-4"
"387","1880|F|Zelma|19|1.9466415310847915e-4"
"388","1880|F|Adelia|18|1.8441867136592764e-4"
"389","1880|F|Annetta|18|1.8441867136592764e-4"
"390","1880|F|Antonia|18|1.8441867136592764e-4"
"391","1880|F|Dona|18|1.8441867136592764e-4"
"392","1880|F|Elizebeth|18|1.8441867136592764e-4"
"393","1880|F|Georgianna|18|1.8441867136592764e-4"
"394","1880|F|Gracie|18|1.8441867136592764e-4"
"395","1880|F|Iona|18|1.8441867136592764e-4"
"396","1880|F|Lessie|18|1.8441867136592764e-4"
"397","1880|F|Leta|18|1.8441867136592764e-4"
"398","1880|F|Liza|18|1.8441867136592764e-4"
"399","1880|F|Mertie|18|1.8441867136592764e-4"
"400","1880|F|Molly|18|1.8441867136592764e-4"
"401","1880|F|Neva|18|1.8441867136592764e-4"
"402","1880|F|Oma|18|1.8441867136592764e-4"
"403","1880|F|Alida|17|1.741731896233761e-4"
"404","1880|F|Alva|17|1.741731896233761e-4"
"405","1880|F|Cecile|17|1.741731896233761e-4"
"406","1880|F|Cleo|17|1.741731896233761e-4"
"407","1880|F|Donna|17|1.741731896233761e-4"
"408","1880|F|Ellie|17|1.741731896233761e-4"
"409","1880|F|Ernestine|17|1.741731896233761e-4"
"410","1880|F|Evie|17|1.741731896233761e-4"
"411","1880|F|Frankie|17|1.741731896233761e-4"
"412","1880|F|Helene|17|1.741731896233761e-4"
"413","1880|F|Minna|17|1.741731896233761e-4"
"414","1880|F|Myrta|17|1.741731896233761e-4"
"415","1880|F|Prudence|17|1.741731896233761e-4"
"416","1880|F|Queen|17|1.741731896233761e-4"
"417","1880|F|Rilla|17|1.741731896233761e-4"
"418","1880|F|Savannah|17|1.741731896233761e-4"
"419","1880|F|Tessie|17|1.741731896233761e-4"
"420","1880|F|Tina|17|1.741731896233761e-4"
"421","1880|F|Agatha|16|1.6392770788082456e-4"
"422","1880|F|America|16|1.6392770788082456e-4"
"423","1880|F|Anita|16|1.6392770788082456e-4"
"424","1880|F|Arminta|16|1.6392770788082456e-4"
"425","1880|F|Dorothea|16|1.6392770788082456e-4"
"426","1880|F|Ira|16|1.6392770788082456e-4"
"427","1880|F|Luvenia|16|1.6392770788082456e-4"
"428","1880|F|Marjorie|16|1.6392770788082456e-4"
"429","1880|F|Maybelle|16|1.6392770788082456e-4"
"430","1880|F|Mellie|16|1.6392770788082456e-4"
"431","1880|F|Nan|16|1.6392770788082456e-4"
"432","1880|F|Pearlie|16|1.6392770788082456e-4"
"433","1880|F|Sidney|16|1.6392770788082456e-4"
"434","1880|F|Velma|16|1.6392770788082456e-4"
"435","1880|F|Clare|15|1.5368222613827302e-4"
"436","1880|F|Constance|15|1.5368222613827302e-4"
"437","1880|F|Dixie|15|1.5368222613827302e-4"
"438","1880|F|Ila|15|1.5368222613827302e-4"
"439","1880|F|Iola|15|1.5368222613827302e-4"
"440","1880|F|Jimmie|15|1.5368222613827302e-4"
"441","1880|F|Louvenia|15|1.5368222613827302e-4"
"442","1880|F|Lucia|15|1.5368222613827302e-4"
"443","1880|F|Ludie|15|1.5368222613827302e-4"
"444","1880|F|Luna|15|1.5368222613827302e-4"
"445","1880|F|Metta|15|1.5368222613827302e-4"
"446","1880|F|Patsy|15|1.5368222613827302e-4"
"447","1880|F|Phebe|15|1.5368222613827302e-4"
"448","1880|F|Sophronia|15|1.5368222613827302e-4"
"449","1880|F|Adda|14|1.4343674439572148e-4"
"450","1880|F|Avis|14|1.4343674439572148e-4"
"451","1880|F|Betsy|14|1.4343674439572148e-4"
"452","1880|F|Bonnie|14|1.4343674439572148e-4"
"453","1880|F|Cecil|14|1.4343674439572148e-4"
"454","1880|F|Cordie|14|1.4343674439572148e-4"
"455","1880|F|Emmaline|14|1.4343674439572148e-4"
"456","1880|F|Ethelyn|14|1.4343674439572148e-4"
"457","1880|F|Hortense|14|1.4343674439572148e-4"
"458","1880|F|June|14|1.4343674439572148e-4"
"459","1880|F|Louie|14|1.4343674439572148e-4"
"460","1880|F|Lovie|14|1.4343674439572148e-4"
"461","1880|F|Marcella|14|1.4343674439572148e-4"
"462","1880|F|Melinda|14|1.4343674439572148e-4"
"463","1880|F|Mona|14|1.4343674439572148e-4"
"464","1880|F|Odessa|14|1.4343674439572148e-4"
"465","1880|F|Veronica|14|1.4343674439572148e-4"
"466","1880|F|Aimee|13|1.3319126265316994e-4"
"467","1880|F|Annabel|13|1.3319126265316994e-4"
"468","1880|F|Ava|13|1.3319126265316994e-4"
"469","1880|F|Bella|13|1.3319126265316994e-4"
"470","1880|F|Carolina|13|1.3319126265316994e-4"
"471","1880|F|Cathrine|13|1.3319126265316994e-4"
"472","1880|F|Christena|13|1.3319126265316994e-4"
"473","1880|F|Clyde|13|1.3319126265316994e-4"
"474","1880|F|Dena|13|1.3319126265316994e-4"
"475","1880|F|Dolores|13|1.3319126265316994e-4"
"476","1880|F|Eleanore|13|1.3319126265316994e-4"
"477","1880|F|Elmira|13|1.3319126265316994e-4"
"478","1880|F|Fay|13|1.3319126265316994e-4"
"479","1880|F|Frank|13|1.3319126265316994e-4"
"480","1880|F|Jenny|13|1.3319126265316994e-4"
"481","1880|F|Kizzie|13|1.3319126265316994e-4"
"482","1880|F|Lonnie|13|1.3319126265316994e-4"
"483","1880|F|Loula|13|1.3319126265316994e-4"
"484","1880|F|Magdalene|13|1.3319126265316994e-4"
"485","1880|F|Mettie|13|1.3319126265316994e-4"
"486","1880|F|Mintie|13|1.3319126265316994e-4"
"487","1880|F|Peggy|13|1.3319126265316994e-4"
"488","1880|F|Reba|13|1.3319126265316994e-4"
"489","1880|F|Serena|13|1.3319126265316994e-4"
"490","1880|F|Vida|13|1.3319126265316994e-4"
"491","1880|F|Zada|13|1.3319126265316994e-4"
"492","1880|F|Abigail|12|1.229457809106184e-4"
"493","1880|F|Celestine|12|1.229457809106184e-4"
"494","1880|F|Celina|12|1.229457809106184e-4"
"495","1880|F|Claudie|12|1.229457809106184e-4"
"496","1880|F|Clemmie|12|1.229457809106184e-4"
"497","1880|F|Connie|12|1.229457809106184e-4"
"498","1880|F|Daisie|12|1.229457809106184e-4"
"499","1880|F|Deborah|12|1.229457809106184e-4"
"500","1880|F|Dessa|12|1.229457809106184e-4"
"501","1880|F|Easter|12|1.229457809106184e-4"
"502","1880|F|Eddie|12|1.229457809106184e-4"
"503","1880|F|Emelia|12|1.229457809106184e-4"
"504","1880|F|Emmie|12|1.229457809106184e-4"
"505","1880|F|Imogene|12|1.229457809106184e-4"
"506","1880|F|India|12|1.229457809106184e-4"
"507","1880|F|Jeanne|12|1.229457809106184e-4"
"508","1880|F|Joan|12|1.229457809106184e-4"
"509","1880|F|Lenore|12|1.229457809106184e-4"
"510","1880|F|Liddie|12|1.229457809106184e-4"
"511","1880|F|Lotta|12|1.229457809106184e-4"
"512","1880|F|Mame|12|1.229457809106184e-4"
"513","1880|F|Nevada|12|1.229457809106184e-4"
"514","1880|F|Rachael|12|1.229457809106184e-4"
"515","1880|F|Sina|12|1.229457809106184e-4"
"516","1880|F|Willa|12|1.229457809106184e-4"
"517","1880|F|Aline|11|1.1270029916806688e-4"
"518","1880|F|Beryl|11|1.1270029916806688e-4"
"519","1880|F|Charles|11|1.1270029916806688e-4"
"520","1880|F|Daisey|11|1.1270029916806688e-4"
"521","1880|F|Dorcas|11|1.1270029916806688e-4"
"522","1880|F|Edmonia|11|1.1270029916806688e-4"
"523","1880|F|Effa|11|1.1270029916806688e-4"
"524","1880|F|Eldora|11|1.1270029916806688e-4"
